condition,resolution_normalized,brightness_normalized,compression_normalized,split_b_test_acc,split_c_acc
baseline_no_norm_rerun,False,False,False,0.918918918918919,0.05333333333333334
compression_norm_only,False,False,True,0.9054054054054054,0.12666666666666668
resolution_brightness_combined_rerun,True,True,False,0.9324324324324325,0.5066666666666667
all_three_combined,True,True,True,0.9324324324324325,0.78
