model,run,split_protocol,partition,accuracy,accuracy_ci_lo,accuracy_ci_hi,precision,precision_ci_lo,precision_ci_hi,recall,recall_ci_lo,recall_ci_hi,f1,f1_ci_lo,f1_ci_hi,roc_auc,roc_auc_ci_lo,roc_auc_ci_hi,n_test,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,n_folds
model2_smallcnn_gap,split_a_single_fit,A,val,0.8701298701298701,0.7922077922077922,0.935064935064935,0.825,0.6976744186046512,0.9428571428571428,0.9166666666666666,0.8214056776556776,1.0,0.868421052631579,0.7796610169491526,0.9428968253968253,0.9342818428184282,0.8690681474548203,0.9818028143274854,77,,,,,,,,,,,
model2_smallcnn_gap,split_a_single_fit,A,test,0.868421052631579,0.7894736842105263,0.9342105263157895,0.8787878787878788,0.7647058823529411,0.9722409909909909,0.8285714285714286,0.6944444444444444,0.945981507823613,0.8529411764705882,0.7536231884057971,0.9355010295126972,0.9512195121951219,0.9030894515164714,0.9872236610517862,76,,,,,,,,,,,
model2_smallcnn_gap,split_b_5foldcv,B,train_cv,,,,,,,,,,,,,,,,,0.8653364632237872,0.035754931743294006,0.883399897593446,0.05118707782667674,0.827807486631016,0.0535987893618217,0.8531549609810479,0.03971880095222348,0.9377589804834386,0.026420953847495755,5
model2_smallcnn_gap,split_b_final_fit,B,val,0.9240506329113924,0.8607594936708861,0.9746835443037974,0.9375,0.84375,1.0,0.8823529411764706,0.7586206896551724,0.9729907539118066,0.9090909090909091,0.8274847870182556,0.9705882352941176,0.9679738562091504,0.9302298497761087,0.9946263122104637,79,,,,,,,,,,,
model2_smallcnn_gap,split_b_final_fit,B,test,0.8648648648648649,0.7837837837837838,0.9324324324324325,0.8378378378378378,0.7142063492063492,0.9473684210526315,0.8857142857142857,0.7713736263736264,0.9772853535353535,0.8611111111111112,0.7666666666666667,0.9397590361445783,0.9164835164835164,0.8447405294926156,0.9726559390812439,74,,,,,,,,,,,
