model,run,split_protocol,partition,accuracy,accuracy_ci_lo,accuracy_ci_hi,precision,precision_ci_lo,precision_ci_hi,recall,recall_ci_lo,recall_ci_hi,f1,f1_ci_lo,f1_ci_hi,roc_auc,roc_auc_ci_lo,roc_auc_ci_hi,n_test,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,n_folds
model4_efficientnetb0_frozen,split_a_single_fit,A,val,0.974025974025974,0.935064935064935,1.0,0.9473684210526315,0.8648341523341524,1.0,1.0,1.0,1.0,0.972972972972973,0.9275185577942736,1.0,0.9952574525745257,0.9831697054698457,1.0,77,,,,,,,,,,,
model4_efficientnetb0_frozen,split_a_single_fit,A,test,0.9868421052631579,0.9605263157894737,1.0,1.0,1.0,1.0,0.9714285714285714,0.9090909090909091,1.0,0.9855072463768116,0.9523809523809523,1.0,0.9986062717770035,0.9934680541745758,1.0,76,,,,,,,,,,,
model4_efficientnetb0_frozen,split_b_5foldcv,B,train_cv,,,,,,,,,,,,,,,,,0.9831768388106417,0.010561206522992006,0.9888888888888889,0.022222222222222233,0.9764705882352942,0.022009749333964365,0.9822549589713769,0.011006373580965614,0.998414358631077,0.001814532592457797,5
model4_efficientnetb0_frozen,split_b_final_fit,B,val,0.9873417721518988,0.9620253164556962,1.0,0.9714285714285714,0.9068829707426856,1.0,1.0,1.0,1.0,0.9855072463768116,0.9511678379495659,1.0,1.0,0.9999999999999999,1.0,79,,,,,,,,,,,
model4_efficientnetb0_frozen,split_b_final_fit,B,test,0.918918918918919,0.8513513513513513,0.972972972972973,0.967741935483871,0.8918168168168168,1.0,0.8571428571428571,0.7272727272727273,0.9666666666666667,0.9090909090909091,0.8181498079385404,0.9722222222222222,0.9882783882783883,0.9648351648351648,1.0,74,,,,,,,,,,,
