model,run,split_protocol,partition,accuracy,accuracy_ci_lo,accuracy_ci_hi,precision,precision_ci_lo,precision_ci_hi,recall,recall_ci_lo,recall_ci_hi,f1,f1_ci_lo,f1_ci_hi,roc_auc,roc_auc_ci_lo,roc_auc_ci_hi,n_test,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,n_folds
model3_mobilenetv3small_frozen,split_a_single_fit,A,val,0.974025974025974,0.935064935064935,1.0,0.9473684210526315,0.8571428571428571,1.0,1.0,1.0,1.0,0.972972972972973,0.9230769230769231,1.0,0.9986449864498644,0.9932249322493225,1.0,77,,,,,,,,,,,
model3_mobilenetv3small_frozen,split_a_single_fit,A,test,0.9342105263157895,0.868421052631579,0.9868421052631579,0.96875,0.8888888888888888,1.0,0.8857142857142857,0.7692307692307693,0.9736842105263158,0.9253731343283582,0.8484591679506934,0.9846153846153847,0.9951219512195122,0.9836279921915002,1.0,76,,,,,,,,,,,
model3_mobilenetv3small_frozen,split_b_5foldcv,B,train_cv,,,,,,,,,,,,,,,,,0.9635758998435054,0.011270322225117908,0.97056786350904,0.026352226910210656,0.952584670231729,0.01471425246594576,0.9611795706424863,0.012082419187611463,0.9955659853492671,0.004003535555718199,5
model3_mobilenetv3small_frozen,split_b_final_fit,B,val,0.9620253164556962,0.9113924050632911,1.0,0.9696969696969697,0.9062127976190476,1.0,0.9411764705882353,0.8461538461538461,1.0,0.9552238805970149,0.8965259907359753,1.0,0.9980392156862745,0.9919354838709679,1.0,79,,,,,,,,,,,
model3_mobilenetv3small_frozen,split_b_final_fit,B,test,0.9324324324324325,0.8648648648648649,0.9864864864864865,0.96875,0.8918168168168168,1.0,0.8857142857142857,0.7691666666666667,0.9736842105263158,0.9253731343283582,0.8484591679506934,0.984139194139194,0.9868131868131869,0.9652516995199921,0.9992878013148283,74,,,,,,,,,,,
