model,split_a_test_acc,split_a_test_acc_ci,split_a_test_auc,split_b_test_acc,split_b_test_acc_ci,split_b_test_auc,split_b_cv_acc_mean,split_b_cv_acc_std,delta_acc_A_minus_B
model1_classical_colorhist_logreg,0.8421052631578947,"[0.750, 0.921]",0.8926829268292683,0.8378378378378378,"[0.743, 0.919]",0.8974358974358974,0.8318466353677622,0.04895999985009553,0.004267425320056861
model2_smallcnn_gap,0.868421052631579,"[0.789, 0.934]",0.9512195121951219,0.8648648648648649,"[0.784, 0.932]",0.9164835164835164,0.8653364632237872,0.035754931743294006,0.0035561877667140696
model3_mobilenetv3small_frozen,0.9342105263157895,"[0.868, 0.987]",0.9951219512195122,0.9324324324324325,"[0.865, 0.986]",0.9868131868131869,0.9635758998435054,0.011270322225117908,0.0017780938833570348
model4_efficientnetb0_frozen,0.9868421052631579,"[0.961, 1.000]",0.9986062717770035,0.918918918918919,"[0.851, 0.973]",0.9882783882783883,0.9831768388106417,0.010561206522992006,0.06792318634423888
