condition,resolution_normalized,brightness_normalized,split_b_test_acc,split_c_acc
baseline_no_norm,False,False,0.918918918918919,0.08666666666666667
resolution_norm_only,True,False,0.9324324324324325,0.22
brightness_norm_only,False,True,0.918918918918919,0.2733333333333333
both_combined,True,True,0.9594594594594594,0.6266666666666667
