condition,resolution_normalized,brightness_normalized,split_b_test_acc,split_c_acc
baseline_no_norm,False,False,0.9459459459459459,0.8
resolution_norm_only,True,False,0.9459459459459459,0.8466666666666667
brightness_norm_only,False,True,0.9324324324324325,0.56
both_combined,True,True,0.9594594594594594,0.4
