candidate_id,commons_title,status,relpath,sha256,bytes,fetched_url,note
BA_002851,File:Propofol 07.jpg,ok,balanced_authentic/BA_002851.jpg,0c85f9158130fd2935262519f5e3619c837130c087382b71f216892c20156658,318359,https://thumb.wikimedia.org/wikipedia/commons/thumb/5/51/Propofol_07.jpg/1280px-Propofol_07.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_002852,File:Propofol 08.jpg,ok,balanced_authentic/BA_002852.jpg,4e629acd02c90f1fa666190f0c50f86d217cacb1331ffa877ed628ec1ae1dccc,327660,https://thumb.wikimedia.org/wikipedia/commons/thumb/b/bf/Propofol_08.jpg/1280px-Propofol_08.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_002853,File:Propofol 09.jpg,ok,balanced_authentic/BA_002853.jpg,0e93cec2c64e036a8c8ef5b3eed1fc79c04678aba008f95fa020304faf966a65,317696,https://thumb.wikimedia.org/wikipedia/commons/thumb/d/d8/Propofol_09.jpg/1280px-Propofol_09.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_002854,File:Propofol 10.jpg,ok,balanced_authentic/BA_002854.jpg,77be45647e3fc024a1dfaeff2d35b05033ffeb8426dd16495263cf4c9e55e9ab,318977,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/65/Propofol_10.jpg/1280px-Propofol_10.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_002855,File:Propofol 11.jpg,ok,balanced_authentic/BA_002855.jpg,12564f299a1685086b6e608ecd88ce5982c0c7f6a4ae6e444a6fea1c1fc21b21,228323,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/63/Propofol_11.jpg/1280px-Propofol_11.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_002856,File:Propofol 12.jpg,ok,balanced_authentic/BA_002856.jpg,7e665f0015505dceaec71d9f8008c64bac2f2ed8e454054a8aa0ccdbc4a3acdc,422245,https://thumb.wikimedia.org/wikipedia/commons/thumb/1/16/Propofol_12.jpg/1280px-Propofol_12.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_002895,File:Provody na Sich.jpg,ok,balanced_authentic/BA_002895.jpg,03acd83b0e18c9fd68d1b523752ec55858a4cd5826111cd9185978294d8ac595,333414,https://thumb.wikimedia.org/wikipedia/commons/thumb/3/36/Provody_na_Sich.jpg/1280px-Provody_na_Sich.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_002914,File:Quenching of Quinine fluorescence by chloride ions.JPG,ok,balanced_authentic/BA_002914.jpg,ff28d25f314801bea867fa19408148e12cf2b8da661a8a538ec66cc2a7c22252,112710,https://thumb.wikimedia.org/wikipedia/commons/thumb/6/6f/Quenching_of_Quinine_fluorescence_by_chloride_ions.JPG/1280px-Quenching_of_Quinine_fluorescence_by_chloride_ions.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail,
BA_002925,File:Quinine 3-D.png,ok,balanced_authentic/BA_002925.jpg,aafeff17f4b7de3de4f4e37b94f714bd1f945c88f7ad665c5e03eb5189a17d54,27995,https://upload.wikimedia.org/wikipedia/commons/1/1f/Quinine_3-D.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,
BA_002926,File:Quinine Advertisement.jpg,ok,balanced_authentic/BA_002926.jpg,d3d6a600eb0e990751cb02bc81bc6608e286b2a07bb725f7eb49277816fda3a6,369568,https://upload.wikimedia.org/wikipedia/commons/f/f2/Quinine_Advertisement.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail_unscaled,
