candidate_id,commons_title,page_url,image_url,mime,width,height,min_side,file_size_bytes,licence_short,licence_url,artist,credit,upload_date,found_via,query_term,harvest_date
BA_000307,File:Amitriptyline25.JPG,https://commons.wikimedia.org/wiki/File:Amitriptyline25.JPG,https://upload.wikimedia.org/wikipedia/commons/5/54/Amitriptyline25.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,473,393,393,116312,Public domain,,Dav77,Own work,2008-10-20T00:33:37Z,category,Category:Blister packs,2026-09-09
BA_000308,File:Amitriptyline50.JPG,https://commons.wikimedia.org/wiki/File:Amitriptyline50.JPG,https://upload.wikimedia.org/wikipedia/commons/8/89/Amitriptyline50.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,662,463,463,169908,Public domain,,Dav77,Own work,2008-10-20T00:11:18Z,category,Category:Blister packs,2026-09-09
BA_000309,File:Amlator 10-5 mg tbl.jpg,https://commons.wikimedia.org/wiki/File:Amlator_10-5_mg_tbl.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9d/Amlator_10-5_mg_tbl.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,4104,2568,2568,1344983,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Tomino de WS,Podpořeno OP VVV č. CZ.02.2.69/0.0/0.0/16_015/0002362.,2021-01-24T09:39:52Z,category,Category:Blister packs,2026-09-09
BA_000310,File:Amlodipin Sandoz bottle.jpg,https://commons.wikimedia.org/wiki/File:Amlodipin_Sandoz_bottle.jpg,https://upload.wikimedia.org/wikipedia/commons/d/db/Amlodipin_Sandoz_bottle.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,2673,3564,2673,3931413,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,W.carter,Own work,2024-04-06T11:02:25Z,category,Category:Medicine bottles,2026-09-09
BA_000311,"File:Ammonia inhalants, to revive patient from fainting of shock, to be used as smelling salts, front side.JPG","https://commons.wikimedia.org/wiki/File:Ammonia_inhalants,_to_revive_patient_from_fainting_of_shock,_to_be_used_as_smelling_salts,_front_side.JPG",https://upload.wikimedia.org/wikipedia/commons/6/66/Ammonia_inhalants%2C_to_revive_patient_from_fainting_of_shock%2C_to_be_used_as_smelling_salts%2C_front_side.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,3632,2536,2536,2226043,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,KingaNBM,Own work,2015-12-17T13:08:36Z,category,Category:Pharmaceutical products,2026-09-09
BA_000312,"File:Ammonia inhalants, to revive patient from fainting of shock, to be used as smelling salts.JPG","https://commons.wikimedia.org/wiki/File:Ammonia_inhalants,_to_revive_patient_from_fainting_of_shock,_to_be_used_as_smelling_salts.JPG",https://upload.wikimedia.org/wikipedia/commons/1/15/Ammonia_inhalants%2C_to_revive_patient_from_fainting_of_shock%2C_to_be_used_as_smelling_salts.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,2976,1920,1920,949786,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,KingaNBM,Own work,2015-12-17T13:05:34Z,category,Category:Pharmaceutical products,2026-09-09
BA_000313,File:Amoksicilin 500 091208.jpg,https://commons.wikimedia.org/wiki/File:Amoksicilin_500_091208.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8e/Amoksicilin_500_091208.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,640,519,519,242580,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Roberta F.,Own work,2008-12-09T19:31:00Z,search,Augmentin,2026-09-09
BA_000314,File:Amoksiklav.jpg,https://commons.wikimedia.org/wiki/File:Amoksiklav.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f9/Amoksiklav.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,819,893,819,153516,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Mvejr,Own work,2018-08-29T20:40:38Z,search,Augmentin,2026-09-09
BA_000315,File:Amoxi-drops and amoxi-tabs.jpg,https://commons.wikimedia.org/wiki/File:Amoxi-drops_and_amoxi-tabs.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d5/Amoxi-drops_and_amoxi-tabs.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/jpeg,1000,1095,1000,676327,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,Persia Salehi,Own work,2018-02-26T02:54:39Z,search,Augmentin,2026-09-09
BA_000316,File:Amoxicilina y ácido clavulanico dosificación.png,https://commons.wikimedia.org/wiki/File:Amoxicilina_y_%C3%A1cido_clavulanico_dosificaci%C3%B3n.png,https://upload.wikimedia.org/wikipedia/commons/0/0f/Amoxicilina_y_%C3%A1cido_clavulanico_dosificaci%C3%B3n.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,image/png,800,800,800,818833,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Medicadoo,https://medicadoo.wordpress.com/2015/07/02/cuanto-antibiotico-le-doy-al-nino/,2020-01-28T21:18:55Z,search,Augmentin,2026-09-09
