artist,brightness,candidate_id,commons_title,decision,exclusion_code,file_size_bytes,format,grad,height,licence_short,min_hamming_to_pool,min_side,near_white_frac,page_url,path,quantized_colours,query_term,reason,width
NIH History Office from Bethesda,0.5011090040206909,BA_000355,File:Anna Pabst 1896-1935 (30794405487).jpg,pending_review,,607562,JPEG,0.05331052839756012,1829,Public domain,16,1280,0.0,https://commons.wikimedia.org/wiki/File:Anna_Pabst_1896-1935_(30794405487).jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000355.jpg,231,meningitis vaccine,,1280
BlankEclair,0.572470486164093,BA_000360,"File:Anterone (cyproterone acetate) tablets in Australia, with three blister packs.jpg",pending_review,,225989,JPEG,0.017640821635723114,720,CC BY-SA 4.0,18,720,0.0,"https://commons.wikimedia.org/wiki/File:Anterone_(cyproterone_acetate)_tablets_in_Australia,_with_three_blister_packs.jpg",C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000360.jpg,344,blister pack tablets,,1280
BlankEclair,0.5381609797477722,BA_000361,"File:Anterone (cyproterone acetate) tablets in Australia, with two obverse and one reverse blister packs.jpg",pending_review,,207906,JPEG,0.020912328734993935,720,CC BY-SA 4.0,14,720,0.0,"https://commons.wikimedia.org/wiki/File:Anterone_(cyproterone_acetate)_tablets_in_Australia,_with_two_obverse_and_one_reverse_blister_packs.jpg",C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000361.jpg,369,blister pack tablets,,1280
Maksym Kozlenko,0.5944444537162781,BA_000364,File:Antibiotic pills.jpg,pending_review,,205013,JPEG,0.018186213448643684,789,CC BY-SA 4.0,16,789,0.0001983642578125,https://commons.wikimedia.org/wiki/File:Antibiotic_pills.jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000364.jpg,2029,Augmentin,,1280
Courtesy of NIAID Ryan Kissinger,0.18562059104442596,BA_000367,File:Antibody (NIH BioArt 17 - 626774).png,exclude,A_ACQUISITION_OUT_OF_BAND,144227,PNG,0.010995810851454735,1254,Public domain,,1254,0.0,https://commons.wikimedia.org/wiki/File:Antibody_(NIH_BioArt_17_-_626774).png,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000367.jpg,68,human normal immunoglobulin,"brightness 0.186 outside the counterfeit support [0.341, 0.714]",1280
Courtesy of NIAID Ryan Kissinger,0.7825992703437805,BA_000368,File:Antibody (NIH BioArt 17 - 626784).png,exclude,A_NOT_PHOTOGRAPH,151097,PNG,0.0160079263150692,1254,Public domain,,1254,0.67083740234375,https://commons.wikimedia.org/wiki/File:Antibody_(NIH_BioArt_17_-_626784).png,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000368.jpg,116,human normal immunoglobulin,"grad 0.0160, white 0.67, colours 116",1280
Courtesy of NIAID Ryan Kissinger,0.9058725237846375,BA_000369,File:Antibody (NIH BioArt 17 - 626789).png,exclude,A_NOT_PHOTOGRAPH,153622,PNG,0.02584979496896267,1254,Public domain,,1254,0.6706085205078125,https://commons.wikimedia.org/wiki/File:Antibody_(NIH_BioArt_17_-_626789).png,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000369.jpg,80,human normal immunoglobulin,"grad 0.0258, white 0.67, colours 80",1280
Courtesy of NIAID Ryan Kissinger,0.9500117897987366,BA_000370,File:Antibody (NIH BioArt 17 - 626799).png,exclude,A_NOT_PHOTOGRAPH,139010,PNG,0.012656678445637226,1254,Public domain,,1254,0.6728515625,https://commons.wikimedia.org/wiki/File:Antibody_(NIH_BioArt_17_-_626799).png,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000370.jpg,49,human normal immunoglobulin,"grad 0.0127, white 0.67, colours 49",1280
Courtesy of NIAID Ryan Kissinger,0.14293907582759857,BA_000371,File:Antibody (NIH BioArt 17 - 626804).png,exclude,A_ACQUISITION_OUT_OF_BAND,141851,PNG,0.008332012221217155,1254,Public domain,,1254,0.0,https://commons.wikimedia.org/wiki/File:Antibody_(NIH_BioArt_17_-_626804).png,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000371.jpg,54,human normal immunoglobulin,"brightness 0.143 outside the counterfeit support [0.341, 0.714]",1280
Courtesy of NIAID Ryan Kissinger,0.16059666872024536,BA_000372,File:Antibody (NIH BioArt 17 - 626809).png,exclude,A_ACQUISITION_OUT_OF_BAND,141789,PNG,0.009433691389858723,1254,Public domain,,1254,0.0,https://commons.wikimedia.org/wiki/File:Antibody_(NIH_BioArt_17_-_626809).png,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000372.jpg,59,human normal immunoglobulin,"brightness 0.161 outside the counterfeit support [0.341, 0.714]",1280
Courtesy of NIAID Ryan Kissinger,0.10020903497934341,BA_000373,File:Antibody (NIH BioArt 17 - 626814).png,exclude,A_ACQUISITION_OUT_OF_BAND,131641,PNG,0.0056685530580580235,1254,Public domain,,1254,0.0,https://commons.wikimedia.org/wiki/File:Antibody_(NIH_BioArt_17_-_626814).png,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000373.jpg,35,human normal immunoglobulin,"brightness 0.100 outside the counterfeit support [0.341, 0.714]",1280
Tokenzero,0.18800966441631317,BA_000375,File:Antibody IgG1 surface.png,exclude,A_ACQUISITION_OUT_OF_BAND,905658,PNG,0.018771205097436905,1070,CC BY-SA 4.0,,1070,0.0,https://commons.wikimedia.org/wiki/File:Antibody_IgG1_surface.png,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000375.jpg,651,human normal immunoglobulin,"brightness 0.188 outside the counterfeit support [0.341, 0.714]",1280
TimVickers at English Wikipedia,0.8782501220703125,BA_000377,File:Antibody IgG2.png,exclude,A_NOT_PHOTOGRAPH,250040,PNG,0.03294325992465019,704,Public domain,,704,0.7459564208984375,https://commons.wikimedia.org/wiki/File:Antibody_IgG2.png,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000377.jpg,2184,human normal immunoglobulin,"grad 0.0329, white 0.75, colours 2184",960
,0.7556998133659363,BA_000390,File:Apothecary bottle used for scurvy-grass water Wellcome L0036652.jpg,exclude,A_ACQUISITION_OUT_OF_BAND,399497,JPEG,0.019583314657211304,1964,CC BY 4.0,,1280,0.0052490234375,https://commons.wikimedia.org/wiki/File:Apothecary_bottle_used_for_scurvy-grass_water_Wellcome_L0036652.jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000390.jpg,913,medicine bottle label,"brightness 0.756 outside the counterfeit support [0.341, 0.714]",1280
Dylan Siriwardena and Thorsten E. Boroviak,0.743222177028656,BA_000413,File:Apposition and adhesion of blastocyst to luminal epithelium.jpg,exclude,A_ACQUISITION_OUT_OF_BAND,253288,JPEG,0.035591620951890945,865,CC BY 4.0,,865,0.0001068115234375,https://commons.wikimedia.org/wiki/File:Apposition_and_adhesion_of_blastocyst_to_luminal_epithelium.jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000413.jpg,2019,phenobarbital,"brightness 0.743 outside the counterfeit support [0.341, 0.714]",1280
Peter H Charlton,0.9593313336372375,BA_000425,File:Arterial pulse waves.jpg,exclude,A_NOT_PHOTOGRAPH,154085,JPEG,0.02959982119500637,737,CC BY 4.0,,737,0.8210601806640625,https://commons.wikimedia.org/wiki/File:Arterial_pulse_waves.jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000425.jpg,643,phenobarbital,"grad 0.0296, white 0.82, colours 643",1280
LadyofProcrastination,0.39539647102355957,BA_000436,File:Assorted pharmaceuticals by LadyofProcrastination.jpg,pending_review,,192805,JPEG,0.014671631157398224,951,CC BY-SA 2.0,18,951,0.0133056640625,https://commons.wikimedia.org/wiki/File:Assorted_pharmaceuticals_by_LadyofProcrastination.jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000436.jpg,3065,vitamin A capsules,,1280
Adamu mc,0.512093722820282,BA_000437,File:Astamocil.jpg,pending_review,,288428,JPEG,0.010559240356087685,1707,CC BY-SA 4.0,14,1280,0.0,https://commons.wikimedia.org/wiki/File:Astamocil.jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000437.jpg,651,pharmaceutical packaging photograph,,1280
Whispyhistory,0.4367465078830719,BA_000438,File:Astra Zeneca COVID-19 vaccines in package.jpg,pending_review,,718707,JPEG,0.02473929338157177,1707,CC BY-SA 4.0,18,1280,0.0,https://commons.wikimedia.org/wiki/File:Astra_Zeneca_COVID-19_vaccines_in_package.jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000438.jpg,874,COVID-19 vaccine AstraZeneca,,1280
Whispyhistory,0.5205971598625183,BA_000441,File:AstraZeneca COVID-19 vaccine vials (4ml).jpg,pending_review,,623163,JPEG,0.034343939274549484,1223,CC BY-SA 4.0,14,1223,1.52587890625e-05,https://commons.wikimedia.org/wiki/File:AstraZeneca_COVID-19_vaccine_vials_(4ml).jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000441.jpg,1366,COVID-19 vaccine AstraZeneca,,1280
Whispyhistory,0.5148941874504089,BA_000442,File:AstraZeneca Oxford University COVID-19 Vaccine 4ml vials.jpg,pending_review,,238947,JPEG,0.026527058333158493,827,CC BY-SA 4.0,18,827,0.0001068115234375,https://commons.wikimedia.org/wiki/File:AstraZeneca_Oxford_University_COVID-19_Vaccine_4ml_vials.jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000442.jpg,518,COVID-19 vaccine AstraZeneca,,1280
E. W. Kemble,0.8096982836723328,BA_000443,File:At the sign of the dollar (1905) (14580752567).jpg,exclude,A_ACQUISITION_OUT_OF_BAND,355840,JPEG,0.01882956549525261,2160,Public domain,,1280,0.0,https://commons.wikimedia.org/wiki/File:At_the_sign_of_the_dollar_(1905)_(14580752567).jpg,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000443.jpg,284,tablet strip package,"brightness 0.810 outside the counterfeit support [0.341, 0.714]",1280
Fvasconcellos (talk · contribs),0.12366824597120285,BA_000447,File:Atezolizumab PD-L1 5X8L.png,exclude,A_ACQUISITION_OUT_OF_BAND,831932,PNG,0.027442950755357742,1280,Public domain,,1280,0.0,https://commons.wikimedia.org/wiki/File:Atezolizumab_PD-L1_5X8L.png,C:\Documents\Projects\pharmavision\data\raw\balanced_authentic\BA_000447.jpg,232,durvalumab,"brightness 0.124 outside the counterfeit support [0.341, 0.714]",1280
