candidate_id,source_organization,alert_title,alert_url,image_url,status,filter,bytes,sha256,format,width,height,min_side,stored_relpath,n_alert_pages,nearest_pool_match,min_hamming_to_pool,image_license,redistribution_status
HV_000249_x49,WHO,19-08-2022-medical-product-alert-n-4-2022-falsified-dysport,https://www.who.int/news/item/19-08-2022-medical-product-alert-n-4-2022-falsified-dysport,https://cdn.who.int/media/docs/default-source/substandard-and-falsified/alert-n4_2022_falsified-dysport_en.pdf?sfvrsn=fefcc51f_4,kept,,190921,34395acbaf9fcdb8cb010b77c9dc2a8e1d349686a5e80f0e435a1c6a2a9b893c,PNG,708,323,323,split_e_harvested/HV_000249_x49.png,1,kaggle_fake_real/dataset/Real/images345.jpg,14,unknown_permission_required,metadata_only_permission_required
HV_000249_x50,WHO,19-08-2022-medical-product-alert-n-4-2022-falsified-dysport,https://www.who.int/news/item/19-08-2022-medical-product-alert-n-4-2022-falsified-dysport,https://cdn.who.int/media/docs/default-source/substandard-and-falsified/alert-n4_2022_falsified-dysport_en.pdf?sfvrsn=fefcc51f_4,kept,,77290,1e0034e575006712a01985151cff7bcca49634eab03d8004a9f6f50f153f3e57,PNG,345,271,271,split_e_harvested/HV_000249_x50.png,1,kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 180119.png,20,unknown_permission_required,metadata_only_permission_required
HV_000233_x34,WHO,19-06-2024-medical-product-alert-n-2-2024--falsified-ozempic-(semaglutide),https://www.who.int/news/item/19-06-2024-medical-product-alert-n-2-2024--falsified-ozempic-(semaglutide),https://cdn.who.int/media/docs/default-source/substandard-and-falsified/correction-n2_2024_ozempic_en.pdf?sfvrsn=17d87e2d_12,kept,,210521,8fbcdf9c5d724c39dec3600da572d265e8b124997afda6c8ea508c88132776df,PNG,664,504,504,split_e_harvested/HV_000233_x34.png,1,mendeley_iphone11pro/iphone_11_pro_(138).JPG,18,unknown_permission_required,metadata_only_permission_required
HV_000233_x41,WHO,19-06-2024-medical-product-alert-n-2-2024--falsified-ozempic-(semaglutide),https://www.who.int/news/item/19-06-2024-medical-product-alert-n-2-2024--falsified-ozempic-(semaglutide),https://cdn.who.int/media/docs/default-source/substandard-and-falsified/correction-n2_2024_ozempic_en.pdf?sfvrsn=17d87e2d_12,kept,,199610,f131fbe9df22e96468d62274d9c0b261851284bf3b899b70fb30afef8ee43121,PNG,665,315,315,split_e_harvested/HV_000233_x41.png,1,kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 182916.png,18,unknown_permission_required,metadata_only_permission_required
HV_000233_x42,WHO,19-06-2024-medical-product-alert-n-2-2024--falsified-ozempic-(semaglutide),https://www.who.int/news/item/19-06-2024-medical-product-alert-n-2-2024--falsified-ozempic-(semaglutide),https://cdn.who.int/media/docs/default-source/substandard-and-falsified/correction-n2_2024_ozempic_en.pdf?sfvrsn=17d87e2d_12,kept,,85576,80f978d45b0c8d1ea27520cb2b4cb7090f497c2d479b50ea4dc0d4323dd2a541,PNG,668,146,146,split_e_harvested/HV_000233_x42.png,1,kaggle_fake_real/dataset/Real/images4009.jpg,18,unknown_permission_required,metadata_only_permission_required
HV_000233_x43,WHO,19-06-2024-medical-product-alert-n-2-2024--falsified-ozempic-(semaglutide),https://www.who.int/news/item/19-06-2024-medical-product-alert-n-2-2024--falsified-ozempic-(semaglutide),https://cdn.who.int/media/docs/default-source/substandard-and-falsified/correction-n2_2024_ozempic_en.pdf?sfvrsn=17d87e2d_12,kept,,151672,1d40cfbcf10cb7fa1f02af5f14a5266edf8517f773f6debff6fecbebe6f8638e,PNG,665,142,142,split_e_harvested/HV_000233_x43.png,1,kaggle_fake_real/dataset/Real/images238.jpg,16,unknown_permission_required,metadata_only_permission_required
HV_000233_x44,WHO,19-06-2024-medical-product-alert-n-2-2024--falsified-ozempic-(semaglutide),https://www.who.int/news/item/19-06-2024-medical-product-alert-n-2-2024--falsified-ozempic-(semaglutide),https://cdn.who.int/media/docs/default-source/substandard-and-falsified/correction-n2_2024_ozempic_en.pdf?sfvrsn=17d87e2d_12,dropped,F4_POOL_DUP,189497,8b99c01665be04709b750ae78dcc9e8e22bce6540e6b3d18b6ca2329aeecebad,PNG,452,255,255,,1,split_e_regulatory/PC_000035.png,0,unknown_permission_required,metadata_only_permission_required
HV_000233_x49,WHO,19-06-2024-medical-product-alert-n-2-2024--falsified-ozempic-(semaglutide),https://www.who.int/news/item/19-06-2024-medical-product-alert-n-2-2024--falsified-ozempic-(semaglutide),https://cdn.who.int/media/docs/default-source/substandard-and-falsified/correction-n2_2024_ozempic_en.pdf?sfvrsn=17d87e2d_12,kept,,209242,c0a7a6e0adc89517a8adfa626a16a5bbe3038837b811bdfa2a2b648f7445bca9,PNG,474,478,474,split_e_harvested/HV_000233_x49.png,1,roboflow/train/images5110_jpg.rf.01c4e3db3c0a14137a7ec020c507b58b.jpg,12,unknown_permission_required,metadata_only_permission_required
HV_000233_x50,WHO,19-06-2024-medical-product-alert-n-2-2024--falsified-ozempic-(semaglutide),https://www.who.int/news/item/19-06-2024-medical-product-alert-n-2-2024--falsified-ozempic-(semaglutide),https://cdn.who.int/media/docs/default-source/substandard-and-falsified/correction-n2_2024_ozempic_en.pdf?sfvrsn=17d87e2d_12,kept,,218763,34e5b81ccc859f1b042105f665a587ffb454fc79d73a6ee6428aba3ecca20fe5,PNG,483,481,481,split_e_harvested/HV_000233_x50.png,1,roboflow/train/2020-1348_33-1-_jpg.rf.2896543e87eb550300a93dcf41f188ac.jpg,18,unknown_permission_required,metadata_only_permission_required
HV_000116_x55,WHO,10-03-2021-medical-product-alert-n-1-2021-falsified-vitamin-a,https://www.who.int/news/item/10-03-2021-medical-product-alert-n-1-2021-falsified-vitamin-a,https://cdn.who.int/media/docs/default-source/substandard-and-falsified/n1-2021-falsified-vitaminea-en.pdf?sfvrsn=52676961_18,kept,,262513,347884a7dc846b4d93b94677cdfefb8890281b6dd0e6ef9586035dbd7e991799,PNG,592,373,373,split_e_harvested/HV_000116_x55.png,1,roboflow/train/images4107_jpg.rf.212643e9a4b3d50b5571971489074f88.jpg,18,unknown_permission_required,metadata_only_permission_required
HV_000116_x56,WHO,10-03-2021-medical-product-alert-n-1-2021-falsified-vitamin-a,https://www.who.int/news/item/10-03-2021-medical-product-alert-n-1-2021-falsified-vitamin-a,https://cdn.who.int/media/docs/default-source/substandard-and-falsified/n1-2021-falsified-vitaminea-en.pdf?sfvrsn=52676961_18,kept,,122548,1fafd9acae49aef0f2c116fb326729e4c7adb0bf852326f3cba855f7d93a142d,PNG,191,364,191,split_e_harvested/HV_000116_x56.png,1,roboflow/train/images206_jpg.rf.4c78a3e32944297ed042c476cd8a43ec.jpg,16,unknown_permission_required,metadata_only_permission_required
HV_000314_x48,WHO,25-03-2014-medical-product-alert-n-1-2014--falsified-antimalarial-medicines,https://www.who.int/news/item/25-03-2014-medical-product-alert-n-1-2014--falsified-antimalarial-medicines,https://cdn.who.int/media/docs/default-source/substandard-and-falsified/n1_2014-antimalarials_edp_en.pdf?sfvrsn=447737bf_1,kept,,140431,41e233332c339ea441bdb3a697a69c390a23e794dfb6f2c14e4db5196246bf33,PNG,343,336,336,split_e_harvested/HV_000314_x48.png,1,roboflow/train/images352_jpg.rf.1f3b2f3063760dd1ed5aaa38dbd31266.jpg,14,unknown_permission_required,metadata_only_permission_required
HV_000314_x49,WHO,25-03-2014-medical-product-alert-n-1-2014--falsified-antimalarial-medicines,https://www.who.int/news/item/25-03-2014-medical-product-alert-n-1-2014--falsified-antimalarial-medicines,https://cdn.who.int/media/docs/default-source/substandard-and-falsified/n1_2014-antimalarials_edp_en.pdf?sfvrsn=447737bf_1,kept,,174311,02732fc27ca51d2a199cf42899d47fbdeac0b4183709f1958998fa35ebc7b50b,PNG,408,306,306,split_e_harvested/HV_000314_x49.png,1,split_e_regulatory/PC_000047.jpg,16,unknown_permission_required,metadata_only_permission_required
HV_000314_x54,WHO,25-03-2014-medical-product-alert-n-1-2014--falsified-antimalarial-medicines,https://www.who.int/news/item/25-03-2014-medical-product-alert-n-1-2014--falsified-antimalarial-medicines,https://cdn.who.int/media/docs/default-source/substandard-and-falsified/n1_2014-antimalarials_edp_en.pdf?sfvrsn=447737bf_1,kept,,3394674,f97753e992279146baa29a55b7919079f4d9ffe39e25f6312aa8fcb0112ea873,PNG,1546,1137,1137,split_e_harvested/HV_000314_x54.png,1,kaggle_fake_real/dataset/Fake/Screenshot 2025-09-17 181249.png,18,unknown_permission_required,metadata_only_permission_required
HV_000314_x55,WHO,25-03-2014-medical-product-alert-n-1-2014--falsified-antimalarial-medicines,https://www.who.int/news/item/25-03-2014-medical-product-alert-n-1-2014--falsified-antimalarial-medicines,https://cdn.who.int/media/docs/default-source/substandard-and-falsified/n1_2014-antimalarials_edp_en.pdf?sfvrsn=447737bf_1,kept,,208725,0ad558c99198cbc019961e24c6cc0631e473d940ac57af68f4993fa6175e8e2e,PNG,451,392,392,split_e_harvested/HV_000314_x55.png,1,mendeley_iphone11pro/iphone_11_pro_(17).JPG,16,unknown_permission_required,metadata_only_permission_required
HV_000298_x34,WHO,25-02-2015-medical-product-alert-n-1-2015--falsified-anti-malarial-medicine,https://www.who.int/news/item/25-02-2015-medical-product-alert-n-1-2015--falsified-anti-malarial-medicine,https://cdn.who.int/media/docs/default-source/substandard-and-falsified/n1_2015-artemether-lumefantrine_en.pdf?sfvrsn=e32570a0_1,kept,,286313,e1315173b4d297b4e63a3a481ce0156f54e2534f69dddf30ab0dfe8d8c39044a,PNG,640,480,480,split_e_harvested/HV_000298_x34.png,1,kaggle_fake_real/dataset/Real/images4053.jpg,16,unknown_permission_required,metadata_only_permission_required
HV_000298_x37,WHO,25-02-2015-medical-product-alert-n-1-2015--falsified-anti-malarial-medicine,https://www.who.int/news/item/25-02-2015-medical-product-alert-n-1-2015--falsified-anti-malarial-medicine,https://cdn.who.int/media/docs/default-source/substandard-and-falsified/n1_2015-artemether-lumefantrine_en.pdf?sfvrsn=e32570a0_1,kept,,1158115,0b826719914a716e1d03deaa2455618920a93537e3a53a876ef2957a926a47cd,PNG,1632,918,918,split_e_harvested/HV_000298_x37.png,1,roboflow/train/images4054_jpg.rf.0cca52b9d6af1a7071127c35f5ea4a5a.jpg,16,unknown_permission_required,metadata_only_permission_required
HV_000298_x38,WHO,25-02-2015-medical-product-alert-n-1-2015--falsified-anti-malarial-medicine,https://www.who.int/news/item/25-02-2015-medical-product-alert-n-1-2015--falsified-anti-malarial-medicine,https://cdn.who.int/media/docs/default-source/substandard-and-falsified/n1_2015-artemether-lumefantrine_en.pdf?sfvrsn=e32570a0_1,kept,,484198,6194c9e87fcca83da6d01aa6459ec7be7ab5edfbedf68a9fe6ea6c919b5e301e,PNG,640,480,480,split_e_harvested/HV_000298_x38.png,1,kaggle_fake_real/dataset/Real/images233.jpg,16,unknown_permission_required,metadata_only_permission_required
HV_000298_x41,WHO,25-02-2015-medical-product-alert-n-1-2015--falsified-anti-malarial-medicine,https://www.who.int/news/item/25-02-2015-medical-product-alert-n-1-2015--falsified-anti-malarial-medicine,https://cdn.who.int/media/docs/default-source/substandard-and-falsified/n1_2015-artemether-lumefantrine_en.pdf?sfvrsn=e32570a0_1,kept,,143243,7d551979b493e9bfa527d684da8ba048814cf2f89000fb9c3fe4a2cc9c1d2339,PNG,362,324,324,split_e_harvested/HV_000298_x41.png,1,kaggle_fake_real/dataset/Real/images4084.jpg,18,unknown_permission_required,metadata_only_permission_required
HV_000298_x42,WHO,25-02-2015-medical-product-alert-n-1-2015--falsified-anti-malarial-medicine,https://www.who.int/news/item/25-02-2015-medical-product-alert-n-1-2015--falsified-anti-malarial-medicine,https://cdn.who.int/media/docs/default-source/substandard-and-falsified/n1_2015-artemether-lumefantrine_en.pdf?sfvrsn=e32570a0_1,kept,,637002,d86172a871af41dbbc4628899b1eae23ecc5cc675681749124568209c009c4f9,PNG,1032,581,581,split_e_harvested/HV_000298_x42.png,1,roboflow/train/images240_jpg.rf.8e36731a904d4795de8b6484c8796cd6.jpg,18,unknown_permission_required,metadata_only_permission_required
