filename,width,height,min_side,file_size_bytes,brightness
iphone_11_pro_(1).JPG,2419,3225,2419,1690990,0.428638219833374
iphone_11_pro_(100).JPG,2419,3225,2419,2229081,0.3949882984161377
iphone_11_pro_(102).JPG,2419,3225,2419,2390281,0.37334588170051575
iphone_11_pro_(103).JPG,2419,3225,2419,2185860,0.40834546089172363
iphone_11_pro_(104).JPG,2419,3225,2419,2128878,0.3677593767642975
iphone_11_pro_(105).JPG,2419,3225,2419,2276271,0.37587544322013855
iphone_11_pro_(107).JPG,3225,2419,2419,2408297,0.36093080043792725
iphone_11_pro_(109).JPG,2419,3225,2419,1968113,0.430084228515625
iphone_11_pro_(11).JPG,2419,3225,2419,2284424,0.3746633231639862
iphone_11_pro_(110).JPG,2419,3225,2419,2337272,0.38144978880882263
iphone_11_pro_(111).JPG,2419,3225,2419,2160481,0.3856889307498932
iphone_11_pro_(113).JPG,2419,3225,2419,2111550,0.34815987944602966
iphone_11_pro_(114).JPG,2419,3225,2419,1976524,0.4056414067745209
iphone_11_pro_(115).JPG,2419,3225,2419,2300327,0.39742711186408997
iphone_11_pro_(116).JPG,2419,3225,2419,2424867,0.34468379616737366
iphone_11_pro_(117).JPG,2419,3225,2419,1848880,0.40961918234825134
iphone_11_pro_(118).JPG,2419,3225,2419,2494118,0.44140467047691345
iphone_11_pro_(119).JPG,2419,3225,2419,2289362,0.3981327712535858
iphone_11_pro_(12).JPG,2419,3225,2419,2200398,0.36807024478912354
iphone_11_pro_(120).JPG,2419,3225,2419,1787855,0.42457684874534607
iphone_11_pro_(121).JPG,2419,3225,2419,2336212,0.3329577147960663
iphone_11_pro_(122).JPG,2419,3225,2419,2025889,0.36593008041381836
iphone_11_pro_(123).JPG,2419,3225,2419,1914342,0.42238274216651917
iphone_11_pro_(124).JPG,2419,3225,2419,2556315,0.3472130000591278
iphone_11_pro_(126).JPG,2419,3225,2419,2460568,0.37122586369514465
iphone_11_pro_(127).JPG,2419,3225,2419,2292800,0.40428444743156433
iphone_11_pro_(128).JPG,2419,3225,2419,2608682,0.3841002285480499
iphone_11_pro_(129).JPG,2419,3225,2419,2236900,0.35971012711524963
iphone_11_pro_(13).JPG,2419,3225,2419,2403874,0.3897751271724701
iphone_11_pro_(131).JPG,2419,3225,2419,2225559,0.3429311215877533
iphone_11_pro_(132).JPG,2419,3225,2419,2343830,0.3612927198410034
iphone_11_pro_(133).JPG,2419,3225,2419,1888861,0.3903939425945282
iphone_11_pro_(135).JPG,2419,3225,2419,2381572,0.3631807267665863
iphone_11_pro_(137).JPG,2419,3225,2419,2279413,0.3945012390613556
iphone_11_pro_(138).JPG,2419,3225,2419,1733722,0.42930006980895996
iphone_11_pro_(139).JPG,2419,3225,2419,2592025,0.3733120858669281
iphone_11_pro_(14).JPG,2419,3225,2419,2677636,0.38481763005256653
iphone_11_pro_(140).JPG,2419,3225,2419,2326269,0.4083218574523926
iphone_11_pro_(144).JPG,2419,3225,2419,1727976,0.482421875
iphone_11_pro_(145).JPG,2419,3225,2419,3155329,0.3609001636505127
iphone_11_pro_(146).JPG,2419,3225,2419,1822492,0.4461240768432617
iphone_11_pro_(147).JPG,2419,3225,2419,2127195,0.4170355796813965
iphone_11_pro_(148).JPG,2419,3225,2419,1966152,0.4502326548099518
iphone_11_pro_(149).JPG,2419,3225,2419,1869233,0.38576993346214294
iphone_11_pro_(15).JPG,2419,3225,2419,2616752,0.3810141980648041
iphone_11_pro_(150).JPG,2419,3225,2419,1970233,0.4357166588306427
iphone_11_pro_(151).JPG,2419,3225,2419,2369435,0.35035333037376404
iphone_11_pro_(152).JPG,2419,3225,2419,2191462,0.3567695617675781
