epoch,train_loss,train_acc,val_loss,val_acc
0,0.4888113563468142,0.803921568627451,0.3026870152392945,0.922077922077922
1,0.26837772772370044,0.9281045751633987,0.19402269632011265,0.922077922077922
2,0.19806832857047366,0.9449112978524743,0.14473041311486975,0.948051948051948
3,0.16201666620126068,0.9570494864612512,0.12808139119055365,0.948051948051948
4,0.14011392148992483,0.965452847805789,0.11307105692950162,0.961038961038961
5,0.12460479136107683,0.9673202614379085,0.09933539605759956,0.974025974025974
6,0.11224561102208302,0.9682539682539683,0.09283837792161223,0.974025974025974
7,0.10418768072662567,0.9710550887021475,0.09735705248721234,0.961038961038961
8,0.09291677448957686,0.9775910364145658,0.08294815928130955,0.974025974025974
9,0.08436044428000151,0.976657329598506,0.08485055511648004,0.974025974025974
10,0.0736471649388027,0.9850606909430439,0.07293272869927543,0.974025974025974
11,0.07660995935108147,0.9803921568627451,0.07689733793596168,0.974025974025974
12,0.06692494182777003,0.9841269841269841,0.07929665643673439,0.974025974025974
13,0.07098357666050797,0.9813258636788048,0.07508282150541033,0.974025974025974
14,0.07127704867531383,0.9803921568627451,0.07907924723702592,0.974025974025974
