epoch,train_loss,train_acc,val_loss,val_acc
0,0.6610077505185157,0.6330532212885154,0.6483274803885931,0.6455696202531646
1,0.6057333757563466,0.6666666666666666,0.5956873376912708,0.6582278481012658
2,0.5519133473143858,0.7535014005602241,0.5510746242502068,0.6708860759493671
3,0.5192746818900442,0.7507002801120448,0.4827394210085084,0.7721518987341772
4,0.5094713302386575,0.7591036414565826,0.4425578226771536,0.7848101265822784
5,0.47873810050534266,0.7703081232492998,0.397953928648671,0.8227848101265823
6,0.4607619793475175,0.7591036414565826,0.4299175878868827,0.7848101265822784
7,0.4621571135454151,0.7899159663865546,0.3838155375251287,0.8481012658227848
8,0.4552597405195904,0.7843137254901961,0.3482859877845909,0.8607594936708861
9,0.465444598879133,0.7703081232492998,0.347401270383521,0.8481012658227848
10,0.42624167467699664,0.8375350140056023,0.3637455169913135,0.8734177215189873
11,0.4708446169934687,0.7759103641456583,0.32969209891331347,0.8481012658227848
12,0.4778443391249627,0.7507002801120448,0.33923686720147916,0.8607594936708861
13,0.44378437481674493,0.8011204481792717,0.3234197882157338,0.8734177215189873
14,0.4032032700145946,0.8067226890756303,0.30853752848468247,0.8860759493670886
15,0.41968246390756103,0.7983193277310925,0.285816966732846,0.9113924050632911
16,0.4436227368290017,0.7843137254901961,0.3048259668712375,0.8734177215189873
17,0.40866714999789283,0.8207282913165266,0.28478623530532743,0.8860759493670886
18,0.39968374713796195,0.8123249299719888,0.27953107862532894,0.8987341772151899
19,0.413794803435729,0.803921568627451,0.3584100255106069,0.8481012658227848
20,0.40925352763728934,0.8067226890756303,0.2915521645093266,0.8734177215189873
21,0.41912768121693983,0.8067226890756303,0.2944149991756753,0.8860759493670886
22,0.3975676189617616,0.8151260504201681,0.27908202326750453,0.8734177215189873
