epoch,train_loss,train_acc,val_loss,val_acc
0,0.4550855588384997,0.8356643356643356,0.2883252285315957,0.9436619718309859
1,0.2022112736300433,0.9627039627039627,0.1942583053884372,0.9577464788732394
2,0.13775667192149552,0.9766899766899767,0.15811416826827426,0.9577464788732394
3,0.10406548429132897,0.9883449883449883,0.14435988882372916,0.971830985915493
4,0.08987114568065097,0.9883449883449883,0.13791903685516035,0.971830985915493
5,0.06930066183174685,0.9965034965034965,0.12997286370627478,0.9577464788732394
6,0.06335695934566585,0.9918414918414918,0.12466153915656704,0.9577464788732394
7,0.05442516932085956,0.9965034965034965,0.12296516465311738,0.971830985915493
8,0.05079888205080877,0.993006993006993,0.12418862371902231,0.971830985915493
9,0.0418120607004299,0.9976689976689976,0.11934930164183319,0.971830985915493
10,0.038535239049048965,0.9941724941724942,0.11287191932574964,0.971830985915493
11,0.03672437190505869,0.9988344988344988,0.11480831913650036,0.971830985915493
12,0.03657553600264596,0.9965034965034965,0.11406529987965461,0.971830985915493
13,0.029272855613337253,0.9988344988344988,0.11476876122326078,0.971830985915493
14,0.026726107786047015,0.9988344988344988,0.11910766835363817,0.971830985915493
