epoch,train_loss,train_acc,val_loss,val_acc
0,0.5903850287115541,0.7030812324929971,0.6366421154028252,0.6329113924050633
1,0.5405987756592887,0.7394957983193278,0.6792315312578708,0.6329113924050633
2,0.49241295097922744,0.7647058823529411,0.49542506076867066,0.7215189873417721
3,0.4834601143662001,0.7815126050420168,0.46646506858022907,0.759493670886076
4,0.4662758301453096,0.7703081232492998,0.3319487865967087,0.8607594936708861
5,0.4237390132177444,0.8291316526610645,0.3532627055162116,0.810126582278481
6,0.3994462925846837,0.8291316526610645,0.3629403293510027,0.810126582278481
7,0.4408660392467381,0.8067226890756303,0.3014694789919672,0.8734177215189873
8,0.3973626818309645,0.8067226890756303,0.2585896000831942,0.9240506329113924
9,0.4438085722155264,0.7899159663865546,0.27931072251706185,0.9113924050632911
10,0.38398391308904695,0.8403361344537815,0.31387479980535143,0.8607594936708861
11,0.4384228720718405,0.7955182072829131,0.2856578106367135,0.8987341772151899
12,0.4653740919270769,0.7703081232492998,0.3953579652913009,0.7974683544303798
