epoch,train_loss,train_acc,val_loss,val_acc
0,0.6628926600895676,0.6358543417366946,0.6485492903974992,0.6455696202531646
1,0.605148250816249,0.6722689075630253,0.595823298149471,0.6582278481012658
2,0.5519515848627278,0.7507002801120448,0.555955158758767,0.6708860759493671
3,0.5169414372838178,0.7478991596638656,0.4881362737734107,0.7721518987341772
4,0.5044263159694458,0.7591036414565826,0.44120947695985624,0.7848101265822784
5,0.47419119357060985,0.7815126050420168,0.39892530969426604,0.810126582278481
6,0.4545875639975572,0.7619047619047619,0.4322650119473663,0.7974683544303798
7,0.4549394941964403,0.7927170868347339,0.36939516135408906,0.8354430379746836
8,0.4467530068563146,0.7871148459383753,0.3369636479057843,0.8860759493670886
9,0.45313490472253964,0.7759103641456583,0.32908671151233626,0.8734177215189873
10,0.41349775300306435,0.8207282913165266,0.353626166340671,0.8607594936708861
11,0.4603403107959683,0.7927170868347339,0.3087235953234419,0.8734177215189873
12,0.468439195336414,0.7591036414565826,0.34010015145132816,0.8354430379746836
13,0.4319444658542548,0.8207282913165266,0.3024023111107983,0.8987341772151899
14,0.39094196497893136,0.8095238095238095,0.29476728771306293,0.8987341772151899
15,0.413519753023189,0.8067226890756303,0.27816951010800617,0.9367088607594937
16,0.43122828607799624,0.7955182072829131,0.2988721226589589,0.8734177215189873
17,0.3968476810041262,0.8207282913165266,0.27096726471864724,0.8860759493670886
18,0.3848376734917905,0.8235294117647058,0.2735343205777905,0.9113924050632911
19,0.40329125607047095,0.8123249299719888,0.3499438225091258,0.8354430379746836
20,0.4020937694554903,0.8151260504201681,0.2829447831911377,0.8734177215189873
21,0.4081842772850469,0.8123249299719888,0.2862605556279798,0.8860759493670886
