epoch,train_loss,train_acc,val_loss,val_acc
0,0.493869020711808,0.8057142857142857,0.3181914985179901,0.9285714285714286
1,0.2687833531697591,0.9295238095238095,0.21934142921652114,0.9285714285714286
2,0.19878395080566405,0.9457142857142857,0.1763629295996257,0.9464285714285714
3,0.17514260192712147,0.9485714285714286,0.1513508324112211,0.9464285714285714
4,0.15616359121742704,0.960952380952381,0.13549546471663884,0.9285714285714286
5,0.14058646752720788,0.9628571428571429,0.14087554812431335,0.9464285714285714
6,0.12558068342152096,0.96,0.11897182038852147,0.9464285714285714
7,0.11388735563982101,0.9723809523809523,0.11429910148893084,0.9642857142857143
8,0.11056966216791243,0.9723809523809523,0.11453689847673688,0.9642857142857143
9,0.10229764656651588,0.9723809523809523,0.09907374318156924,0.9642857142857143
10,0.09487331197375343,0.9723809523809523,0.09554105571338109,0.9821428571428571
11,0.09692885317972728,0.9704761904761905,0.093401914196355,0.9642857142857143
12,0.08808802698694525,0.9780952380952381,0.08646950125694275,0.9642857142857143
13,0.08680481599909919,0.9714285714285714,0.09144644439220428,0.9821428571428571
14,0.07982105829176449,0.979047619047619,0.08667113099779401,0.9821428571428571
15,0.0846411352214359,0.9761904761904762,0.08236560757671084,0.9821428571428571
16,0.07106147895256679,0.9780952380952381,0.0883168950676918,0.9642857142857143
17,0.0717596370549429,0.98,0.07435578107833862,0.9821428571428571
18,0.07338136923100268,0.9809523809523809,0.0851705904517855,0.9821428571428571
19,0.06951612957886287,0.9838095238095238,0.06670396668570382,0.9821428571428571
20,0.062467183222373324,0.981904761904762,0.07264652103185654,0.9642857142857143
21,0.05602347080906232,0.9904761904761905,0.07161112395780427,0.9821428571428571
22,0.05914432627104577,0.9847619047619047,0.07524427558694567,0.9821428571428571
23,0.05600436500140599,0.9895238095238095,0.06875172310641833,0.9821428571428571
