epoch,train_loss,train_acc,val_loss,val_acc
0,0.6321257943866634,0.6358543417366946,0.6497506205137674,0.6493506493506493
1,0.5384736506878829,0.7310924369747899,0.6365716581220751,0.6623376623376623
2,0.5136234140863606,0.7591036414565826,0.5536548528191331,0.6883116883116883
3,0.48473284575117737,0.7759103641456583,0.3902153450173217,0.8571428571428571
4,0.47159521269197224,0.7787114845938375,0.365804777129904,0.7662337662337663
5,0.4301746993505654,0.8095238095238095,0.33595892825683993,0.8701298701298701
6,0.4359858721411195,0.8095238095238095,0.4167123104070688,0.8571428571428571
7,0.4429552627711737,0.8095238095238095,0.4474641206589612,0.7272727272727273
8,0.4140508679114804,0.8207282913165266,0.3480806350708008,0.8571428571428571
9,0.42923342747514653,0.8263305322128851,0.3397936046897591,0.8571428571428571
