epoch,train_loss,train_acc,val_loss,val_acc
0,0.408673875346905,0.8608776844070962,0.21623828629904154,0.9620253164556962
1,0.1729569253411725,0.9710550887021475,0.13214638395399986,0.9620253164556962
2,0.11904810314057143,0.9822595704948646,0.10173382091371319,0.9620253164556962
3,0.09177355949326056,0.9859943977591037,0.08601636863962005,0.9746835443037974
4,0.08051434586765496,0.9878618113912232,0.07888814580591419,0.9873417721518988
5,0.06692217838933934,0.9897292250233427,0.06717535532728026,0.9873417721518988
6,0.05367522967768873,0.9943977591036415,0.06248589793715296,0.9873417721518988
7,0.04970384211071622,0.9953314659197012,0.059290466004911856,0.9873417721518988
8,0.044641236246786974,0.9953314659197012,0.05730807168197028,0.9873417721518988
9,0.04517142797440263,0.9943977591036415,0.05270206211488458,0.9873417721518988
10,0.035976153274043264,0.9981325863678805,0.05127589093356193,0.9873417721518988
11,0.036119857049928886,0.9943977591036415,0.05068692319755313,0.9873417721518988
12,0.030472459728950435,0.9990662931839402,0.04791586530170863,0.9873417721518988
13,0.02780579507566578,0.9990662931839402,0.04559118651985368,0.9873417721518988
14,0.02802819306818711,1.0,0.04473013678400577,0.9873417721518988
15,0.02383105305173929,0.9981325863678805,0.04694104534161242,0.9873417721518988
16,0.021926676830142933,0.9990662931839402,0.04666780529520179,0.9873417721518988
17,0.02034015917714014,0.9981325863678805,0.04633797889080229,0.9873417721518988
