epoch,train_loss,train_acc,val_loss,val_acc
0,0.6389376689739922,0.6470588235294118,0.6470610205131241,0.5822784810126582
1,0.5905502314994983,0.6918767507002801,0.6720760496734064,0.6329113924050633
2,0.5482646250257305,0.7170868347338936,0.4646476627905158,0.759493670886076
3,0.5177795842749064,0.7366946778711485,0.4288044496427608,0.7848101265822784
4,0.5101314577735773,0.7535014005602241,0.43250949360147306,0.759493670886076
5,0.49857862272850273,0.7759103641456583,0.41694491347180135,0.8354430379746836
6,0.48014320378877867,0.7815126050420168,0.4135024758833873,0.7721518987341772
7,0.48104584166983594,0.7815126050420168,0.4653583855568608,0.8987341772151899
8,0.49381278893526864,0.7703081232492998,0.45092878085148486,0.8860759493670886
9,0.5133768094687903,0.7619047619047619,0.3968491222285017,0.8354430379746836
10,0.4738032270212467,0.7815126050420168,0.4049330632897872,0.8354430379746836
11,0.5086570585809168,0.7563025210084033,0.44463315643841705,0.8481012658227848
12,0.49917503648779304,0.7591036414565826,0.4017661032797415,0.8481012658227848
13,0.4896734841898376,0.7871148459383753,0.4098135881786105,0.8734177215189873
