epoch,train_loss,train_acc,val_loss,val_acc
0,0.644685654747052,0.6470588235294118,0.6524499081358125,0.6329113924050633
1,0.536052318681188,0.7338935574229691,0.5966150224963321,0.6455696202531646
2,0.5235778191844288,0.7675070028011205,0.5005858242511749,0.7721518987341772
3,0.4736355942170493,0.8067226890756303,0.3907799351064465,0.8734177215189873
4,0.47959911823272705,0.773109243697479,0.418730817640884,0.810126582278481
5,0.4862894193798888,0.7955182072829131,0.37535719516911087,0.810126582278481
6,0.4372247866555756,0.7983193277310925,0.3127426331556296,0.8987341772151899
7,0.44728035819964584,0.7871148459383753,0.3442224811149549,0.8354430379746836
8,0.43536422633323346,0.8151260504201681,0.32073323485217514,0.8987341772151899
9,0.4177537574237134,0.8067226890756303,0.303888991286483,0.8607594936708861
10,0.42715655655420126,0.8095238095238095,0.2795819813692117,0.8987341772151899
11,0.39504934509261314,0.7955182072829131,0.4029171398923367,0.7848101265822784
12,0.44132681069921714,0.7843137254901961,0.2856967260565939,0.8860759493670886
13,0.40724308250331076,0.8263305322128851,0.381610008734691,0.810126582278481
14,0.4411197616105654,0.8207282913165266,0.3449776595151877,0.8481012658227848
