epoch,train_loss,train_acc,val_loss,val_acc
0,0.4888113563468142,0.803921568627451,0.3026870152392945,0.922077922077922
1,0.26837772772370044,0.9281045751633987,0.19402269632011265,0.922077922077922
2,0.19806832857047366,0.9449112978524743,0.14473041311486975,0.948051948051948
3,0.16201666620126068,0.9570494864612512,0.12808139119055365,0.948051948051948
4,0.14011392148992483,0.965452847805789,0.11307105692950162,0.961038961038961
