epoch,train_loss,train_acc,val_loss,val_acc
0,0.6114156065668379,0.6514285714285715,0.6224185824394226,0.625
1,0.5421555992535182,0.7542857142857143,0.5471407515662057,0.6785714285714286
2,0.4996142016138349,0.76,0.5790189036301204,0.6785714285714286
3,0.46360893079212734,0.8085714285714286,0.38036919491631643,0.8035714285714286
4,0.470691294499806,0.7714285714285715,0.40302552921431406,0.7857142857142857
5,0.4720447112832751,0.78,0.3860323258808681,0.7857142857142857
6,0.45597016453742983,0.8085714285714286,0.71999477488654,0.625
7,0.4640231273855482,0.7885714285714286,0.37375466738428387,0.7678571428571429
8,0.4023139704976763,0.8257142857142857,0.3467519666467394,0.8571428571428571
9,0.41920167940003533,0.8085714285714286,0.3422774544784001,0.8214285714285714
10,0.43296662262507846,0.8,0.3380340763500759,0.8392857142857143
11,0.3998946324416569,0.8571428571428571,0.33063461099352154,0.8392857142857143
12,0.4244772277559553,0.8028571428571428,0.3902704971177237,0.7857142857142857
13,0.44422621062823703,0.8028571428571428,0.4571691283157894,0.7678571428571429
14,0.435708452633449,0.8028571428571428,0.440323999949864,0.8571428571428571
15,0.4070329489026751,0.8314285714285714,0.34183875152042936,0.7678571428571429
