epoch,train_loss,train_acc,val_loss,val_acc
0,0.3957872016618009,0.8758169934640523,0.1984963294448732,0.9620253164556962
1,0.16782460328327173,0.9710550887021475,0.12750717733479752,0.9620253164556962
2,0.11394796989350314,0.9831932773109243,0.10169348950627484,0.9746835443037974
3,0.08655963041910938,0.9878618113912232,0.0833913431137423,0.9873417721518988
4,0.07658954553939158,0.9915966386554622,0.07707795797835422,0.9873417721518988
5,0.060305425213749,0.992530345471522,0.0686051689937145,1.0
6,0.057495244429990246,0.9934640522875817,0.0621357614858241,1.0
7,0.05027625146978487,0.9943977591036415,0.05893182167429713,1.0
8,0.04858328878747371,0.9953314659197012,0.05382191814199279,1.0
9,0.03970245373488363,0.9943977591036415,0.04906541050140616,1.0
10,0.03520062192578832,0.9971988795518207,0.04686723090708256,1.0
11,0.02898085946573708,0.9971988795518207,0.04648549548244175,1.0
12,0.031967834716473194,0.996265172735761,0.045539303906733476,1.0
13,0.02939642430826618,0.9990662931839402,0.045466324326263956,1.0
14,0.02576496684097665,0.9971988795518207,0.043344852880020684,1.0
15,0.02265634728086039,0.9990662931839402,0.039805805546384826,1.0
16,0.023473463737754538,0.996265172735761,0.039350897415623635,1.0
17,0.019823740493857503,0.9990662931839402,0.03916167011602393,1.0
18,0.01816253767746225,0.9990662931839402,0.03497053239541718,1.0
19,0.018826474907810614,0.9990662931839402,0.03486672364458253,1.0
20,0.019299928455445724,0.9971988795518207,0.033496284503725514,1.0
21,0.017387860518098434,0.9990662931839402,0.03139061979430763,1.0
22,0.015638652345014305,1.0,0.03303013686562264,1.0
23,0.01565607525164785,0.9990662931839402,0.030762251442934894,1.0
24,0.01635839083831128,0.9990662931839402,0.03006703766133589,1.0
25,0.014911998777252898,0.9990662931839402,0.028926357013892522,1.0
26,0.014198204072889716,0.9990662931839402,0.028739410016355636,1.0
27,0.014995276875773064,0.9990662931839402,0.030549171816887735,1.0
28,0.012115868971092639,0.9990662931839402,0.029456347085629837,1.0
29,0.012918053539235051,0.9990662931839402,0.030600864310524886,1.0
