model,split,epochs_run,best_epoch,best_val_loss,best_val_acc,final_train_loss,final_train_acc
M2,A (naive),10,5,0.33595892825683993,0.8701298701298701,0.42923342747514653,0.8263305322128851
M2,B (product-grouped),13,8,0.2585896000831942,0.9240506329113924,0.4653740919270769,0.7703081232492998
M3,A (naive),15,10,0.07293272869927543,0.974025974025974,0.07127704867531383,0.9803921568627451
M3,B (product-grouped),37,36,0.05669274398043186,0.9620253164556962,0.03004888249830761,0.9953314659197012
M4,A (naive),18,13,0.08166032110328798,0.974025974025974,0.025831714069886425,0.996265172735761
M4,B (product-grouped),18,14,0.04537773688759985,0.9873417721518988,0.02013897335628112,0.9990662931839402
