model,model_full,split,n,tp,fp,fn,tn,accuracy,precision,recall_sensitivity,specificity,f1,balanced_accuracy,mcc,roc_auc,pr_auc,accuracy_ci_lo,accuracy_ci_hi,roc_auc_ci_lo,roc_auc_ci_hi
M1,Colour histogram + LogReg,A (naive),76,33,10,2,31,0.8421052631578947,0.7674418604651163,0.9428571428571428,0.7560975609756098,0.8461538461538461,0.8494773519163763,0.7028842060744238,0.8926829268292683,0.83116909138946,0.7631578947368421,0.9210526315789473,0.8174582876000913,0.9621947011652894
M1,Colour histogram + LogReg,B (product-grouped),74,35,12,0,27,0.8378378378378378,0.7446808510638298,1.0,0.6923076923076923,0.8536585365853658,0.8461538461538461,0.7180169089274488,0.8974358974358974,0.8642878594803329,0.7432432432432432,0.918918918918919,0.8139151092809629,0.963218813387424
M2,Small CNN (GAP head),A (naive),76,29,4,6,37,0.868421052631579,0.8787878787878788,0.8285714285714286,0.9024390243902439,0.8529411764705882,0.8655052264808363,0.7351201716570993,0.9512195121951219,0.9481554172035822,0.7894736842105263,0.9342105263157895,0.9012689713861589,0.9868484719864176
M2,Small CNN (GAP head),B (product-grouped),74,31,6,4,33,0.8648648648648649,0.8378378378378378,0.8857142857142857,0.8461538461538461,0.8611111111111112,0.865934065934066,0.7307981486470352,0.9164835164835164,0.903420905054373,0.7837837837837838,0.9324324324324325,0.8428208658516269,0.9722227431857964
M3,MobileNetV3-Small (frozen),A (naive),76,31,1,4,40,0.9342105263157895,0.96875,0.8857142857142857,0.975609756097561,0.9253731343283582,0.9306620209059233,0.8695432593528443,0.9951219512195122,0.9944509223146996,0.868421052631579,0.9868421052631579,0.9825734862603837,1.0
M3,MobileNetV3-Small (frozen),B (product-grouped),74,31,1,4,38,0.9324324324324325,0.96875,0.8857142857142857,0.9743589743589743,0.9253731343283582,0.9300366300366301,0.8667665381412544,0.9868131868131869,0.9867084116629985,0.8648648648648649,0.9864864864864865,0.9652596082779009,1.0
M4,EfficientNet-B0 (frozen),A (naive),76,34,0,1,41,0.9868421052631579,1.0,0.9714285714285714,1.0,0.9855072463768116,0.9857142857142858,0.9738066131054416,0.9986062717770035,0.9984555984555985,0.9605263157894737,1.0,0.9930699930699931,1.0
M4,EfficientNet-B0 (frozen),B (product-grouped),74,30,1,5,38,0.918918918918919,0.967741935483871,0.8571428571428571,0.9743589743589743,0.9090909090909091,0.9157509157509157,0.84142315887965,0.9882783882783883,0.9861172286760826,0.8513513513513513,0.972972972972973,0.9661720957784444,1.0
