model,model_full,split_a_acc,split_a_ci,split_b_acc,split_b_ci,split_b_cv_mean,split_b_cv_std,delta_a_minus_b,split_a_auc,split_b_auc
M1,Colour histogram + LogReg,0.8421052631578947,"[0.763, 0.921]",0.8378378378378378,"[0.743, 0.919]",0.8318466353677622,0.04895999985009553,0.004267425320056861,0.8926829268292683,0.8974358974358974
M2,Small CNN (GAP head),0.868421052631579,"[0.789, 0.934]",0.8648648648648649,"[0.784, 0.932]",0.8653364632237872,0.035754931743294006,0.0035561877667140696,0.9512195121951219,0.9164835164835164
M3,MobileNetV3-Small (frozen),0.9342105263157895,"[0.868, 0.987]",0.9324324324324325,"[0.865, 0.986]",0.9635758998435054,0.011270322225117908,0.0017780938833570348,0.9951219512195122,0.9868131868131869
M4,EfficientNet-B0 (frozen),0.9868421052631579,"[0.961, 1.000]",0.918918918918919,"[0.851, 0.973]",0.9831768388106417,0.010561206522992006,0.06792318634423888,0.9986062717770035,0.9882783882783883
