model,model_full,trainable_params,frozen_params,weight_memory_mib,preprocess_ms_per_image,forward_ms_per_image,total_ms_per_image,throughput_images_per_s
M1,Colour histogram + LogReg,97,0,0.000370025634765625,18.218813514387286,0.010454054997378105,18.229267569384664,54.85683921165656
M2,Small CNN (GAP head),23938,0,0.09131622314453125,16.825005405809026,17.43753648652519,34.26254189233421,29.18639262499484
M3,MobileNetV3-Small (frozen),1154,927008,3.5406570434570312,16.825005405809026,71.89088108055796,88.71588648636698,11.27193831460694
M4,EfficientNet-B0 (frozen),2562,4007548,15.297355651855469,16.825005405809026,154.3948513524909,171.21985675829993,5.84044408711097
